letter	frequency
CD14POSCD16POSINTERMEDIATEMONOCYTES	4.14855467709131
CD4POSTCELLS	2.75550857303604
CD3NEGCD56POSNKCELLS	5.14644093565533
CD19POSBCELLS	7.21569985498853
LYMPHOCYTES	3.72220621300883
CD3POSCD56POSNKLIKETCELLS	3.45281302648425
PMN	4.52380986906092
CD15LOWCD16HIGHNEUTROPHILS	4.26873631511555
CD8POSTCELLS	1.18372176593923
CD3POSTCELLS	2.79383800871369
CD56LOWCD16HIGH	3.4564653029955
CD14POSMONOCYTES	6.25400347925684
CD56HIGHCD16LOW	3.63263713680204
CD14HIGHCD16NEGCLASSICALMONOCYTES	4.74902852625312
MONOCYTES	4.08979689317587
CD15HIGHCD16NEGEOSINOPHILS	1.58626834089538
CD15POSCD14LOWLDGS	1.25666916148327
CD14LOWCD16POSNONCLASSICALMONOCYTES	6.26125706159272
