letter	frequency
CD45RANEGCD62LHIGHCD27POSCD8POSCENTRALMEMORYTCELLS	6.52174366727565
CD45RANEGCD62LLOWCD27NEGCD8POSEFFECTORMEMORYTCELLS	3.87568165523968
CD45RAPOSCD62LHIGHCD27POSCD8POSNAIVETCELLS	6.56165271245219
CD45RANEGCD62LHIGHCD27POSCD4POSCENTRALMEMORYTCELLS	7.50852730367865
CD45RAPOSCD62LLOWCD27NEGCD4POSEFFECTORTCELLS	1.39771498910191
CD8POSCD38POSACTIVATEDTCELLS	8.62856083527585
CD8POSCD57POSCYTOTOXICTCELLS	4.62409763109653
CD45RANEGCD62LLOWCD27NEGCD4POSEFFECTORMEMORYTCELLS	3.75641236772005
CD45RAPOSCD62LLOWCD27NEGCD8POSEFFECTORTCELLS	4.42244615244871
CD45RAPOSCD62LHIGHCD27POSCD4POSNAIVETCELLS	4.11854570357776
